home, homescore, awayscore, away, date, group
Getafe, 2, 3, Real Madrid, "Monday, January 3, 2011", Coliseum Alfonso PÃ©rez (15,000)
Athletic Bilbao, 1, 2, Deportivo La CoruÃ±a, "Sunday, January 2, 2011", San MamÃ©s (38,000)
Barcelona, 2, 1, Levante, "Sunday, January 2, 2011", Camp Nou (70,000)
Sporting Gijon, 1, 2, Malaga, "Sunday, January 2, 2011", El MolinÃ³n (20,000)
Sevilla FC, 1, 0, Osasuna, "Sunday, January 2, 2011", RamÃ³n SÃ¡nchez PizjuÃ¡n (31,000)
Valencia, 2, 1, Espanyol, "Sunday, January 2, 2011", Mestalla (45,000)
Racing Santander, 0, 0, Hercules, "Monday, December 20, 2010", El Sardinero (17,000)
Almeria, 2, 3, Getafe, "Sunday, December 19, 2010", Juegos MediterrÃ¡neos (10,000)
Osasuna, 0, 0, Real Zaragoza, "Sunday, December 19, 2010", Reyno de Navarra (18,000)
Malaga, 0, 3, Atletico Madrid, "Sunday, December 19, 2010", La Rosaleda (25,000)
Real Madrid, 1, 0, Sevilla FC, "Sunday, December 19, 2010", Santiago BernabÃ©u (80,000)
Deportivo La CoruÃ±a, 1, 1, Sporting Gijon, "Saturday, December 18, 2010", Municipal de Riazor (20,000)
Levante, 1, 2, Athletic Bilbao, "Saturday, December 18, 2010", Ciutat de Valencia (15,000)
Villarreal, 3, 1, Mallorca, "Saturday, December 18, 2010", El Madrigal (20,000)
Espanyol, 1, 5, Barcelona, "Saturday, December 18, 2010", CornellÃ¡ - El Prat (38,000)
Real Sociedad, 1, 2, Valencia, "Saturday, December 18, 2010", Anoeta (30,000)
Valencia, 3, 3, Osasuna, "Monday, December 13, 2010", Mestalla (28,000)
Athletic Bilbao, 2, 1, Espanyol, "Sunday, December 12, 2010", San MamÃ©s (37,000)
Hercules, 4, 1, Malaga, "Sunday, December 12, 2010", JosÃ© Rico PÃ©rez (18,000)
Mallorca, 0, 1, Racing Santander, "Sunday, December 12, 2010", Iberostar Estadi (15,000)
Sporting Gijon, 1, 1, Levante, "Sunday, December 12, 2010", El MolinÃ³n (18,000)
Real Zaragoza, 1, 3, Real Madrid, "Sunday, December 12, 2010", La Romareda (30,000)
Barcelona, 5, 0, Real Sociedad, "Sunday, December 12, 2010", Camp Nou (75,000)
Getafe, 1, 0, Villarreal, "Saturday, December 11, 2010", Coliseum Alfonso PÃ©rez (10,000)
Sevilla FC, 1, 3, Almeria, "Saturday, December 11, 2010", RamÃ³n SÃ¡nchez PizjuÃ¡n (25,000)
Atletico Madrid, 2, 0, Deportivo La CoruÃ±a, "Saturday, December 11, 2010", Vicente CalderÃ³n (48,000)
Deportivo La CoruÃ±a, 1, 0, Hercules, "Monday, December 6, 2010", Municipal de Riazor (12,000)
Almeria, 1, 1, Real Zaragoza, "Sunday, December 5, 2010", Juegos MediterrÃ¡neos (13,000)
