home, homescore, awayscore, away, date, stadium
Borussia Dortmund, 2, 2, Nurnberg, "Saturday, October 2, 2004"," Westfalenstadion (73,500)"
Hansa Rostock, 1, 3, Hannover 96, "Saturday, October 2, 2004"," Ostseestadion (16,700)"
Kaiserslautern, 0, 2, Hertha Berlin, "Saturday, October 2, 2004"," Fritz-Walter Stadion (30,696)"
SC Freiburg, 1, 2, Mainz, "Saturday, October 2, 2004"," Dreisamstadion  (22,000)"
VfL Wolfsburg, 2, 1, Borussia Monchengladbach, "Saturday, October 2, 2004"," Volkswagen Arena (24,000)"
Werder Bremen, 1, 2, Bayern Munich, "Saturday, October 2, 2004"," Weserstadion (42,100)"
Hannover 96, 0, 1, Arminia Bielefeld, "Tuesday, September 28, 2004"," Niedersachsenstadion (31,248)"
Hamburg SV, 2, 1, Hertha Berlin, "Sunday, September 26, 2004"," Volksparkstadion (43,169)"
Mainz, 1, 1, Borussia Dortmund, "Sunday, September 26, 2004"," Stadion am Bruchweg (43,000)"
Bayern Munich, 3, 1, SC Freiburg, "Saturday, September 25, 2004"," Olympiastadion (47,000)"
Borussia Monchengladbach, 2, 2, Hansa Rostock, "Saturday, September 25, 2004"," Stadium Bokelberg (42,600)"
