home, homescore, awayscore, away, date, group
TSG Hoffenheim, 3, 0, Nurnberg, "Saturday, October 24, 2009", Rhein-Neckar-Arena (30,150)
Bayer Leverkusen, 1, 1, Borussia Dortmund, "Friday, October 23, 2009", BayArena (30,000)
VfL Wolfsburg, 2, 1, Borussia Monchengladbach, "Sunday, October 18, 2009", Volkswagen Arena (30,000)
Borussia Dortmund, 2, 0, VfL Bochum, "Sunday, October 18, 2009", Signal Iduna Park (72,500)
Eintracht Frankfurt, 2, 1, Hannover 96, "Saturday, October 17, 2009", Commerzbank Arena (40,700)
FC Cologne, 1, 0, Mainz, "Saturday, October 17, 2009", RheinEnergieStadion (49,000)
Nurnberg, 3, 0, Hertha Berlin, "Saturday, October 17, 2009", EasyCredit-Stadion (38,094)
SC Freiburg, 1, 2, Bayern Munich, "Saturday, October 17, 2009", badenova-Stadion (24,000)
VfB Stuttgart, 1, 2, Schalke 04, "Saturday, October 17, 2009", Mercedes-Benz Arena (42,000)
Werder Bremen, 2, 0, TSG Hoffenheim, "Saturday, October 17, 2009", Weserstadion (33,000)
Hamburg SV, 0, 0, Bayer Leverkusen, "Saturday, October 17, 2009", Imtech Arena (57,000)
VfB Stuttgart, 0, 2, Werder Bremen, "Sunday, October 4, 2009", Mercedes-Benz Arena (42,000)
Hertha Berlin, 1, 3, Hamburg SV, "Sunday, October 4, 2009", Olympiastadion (49,208)
Bayer Leverkusen, 4, 0, Nurnberg, "Saturday, October 3, 2009", BayArena (26,785)
Bayern Munich, 0, 0, FC Cologne, "Saturday, October 3, 2009", Allianz Arena (69,000)
Hannover 96, 5, 2, SC Freiburg, "Saturday, October 3, 2009", AWD-Arena (28,412)
Mainz, 2, 1, TSG Hoffenheim, "Saturday, October 3, 2009", Stadion am Bruchweg (20,300)
VfL Bochum, 1, 1, VfL Wolfsburg, "Saturday, October 3, 2009", rewirpowerSTADION (21,710)
Borussia Monchengladbach, 0, 1, Borussia Dortmund, "Saturday, October 3, 2009", Borussia-Park (53,253)
Schalke 04, 2, 0, Eintracht Frankfurt, "Friday, October 2, 2009", Veltins-Arena (61,673)
SC Freiburg, 3, 0, Borussia Monchengladbach, "Sunday, September 27, 2009", badenova-Stadion (24,000)
TSG Hoffenheim, 5, 1, Hertha Berlin, "Sunday, September 27, 2009", Rhein-Neckar-Arena (29,600)
Borussia Dortmund, 0, 1, Schalke 04, "Saturday, September 26, 2009", Signal Iduna Park (80,552)
Eintracht Frankfurt, 0, 3, VfB Stuttgart, "Saturday, September 26, 2009", Commerzbank Arena (49,750)
FC Cologne, 0, 1, Bayer Leverkusen, "Saturday, September 26, 2009", RheinEnergieStadion (49,300)
VfL Wolfsburg, 4, 2, Hannover 96, "Saturday, September 26, 2009", Volkswagen Arena (30,000)
Werder Bremen, 3, 0, Mainz, "Saturday, September 26, 2009", Weserstadion (32,875)
Hamburg SV, 1, 0, Bayern Munich, "Saturday, September 26, 2009", Imtech Arena (57,000)
Nurnberg, 0, 1, VfL Bochum, "Friday, September 25, 2009", EasyCredit-Stadion (35,376)
Eintracht Frankfurt, 1, 1, Hamburg SV, "Sunday, September 20, 2009", Commerzbank Arena (51,500)
Bayer Leverkusen, 0, 0, Werder Bremen, "Sunday, September 20, 2009", BayArena (30,210)
Hertha Berlin, 0, 4, SC Freiburg, "Sunday, September 20, 2009", Olympiastadion (38,176)
Bayern Munich, 2, 1, Nurnberg, "Saturday, September 19, 2009", Allianz Arena (69,000)
Borussia Monchengladbach, 2, 4, TSG Hoffenheim, "Saturday, September 19, 2009", Borussia-Park (46,551)
Hannover 96, 1, 1, Borussia Dortmund, "Saturday, September 19, 2009", AWD-Arena (43,754)
VfB Stuttgart, 0, 2, FC Cologne, "Saturday, September 19, 2009", Mercedes-Benz Arena (41,000)
VfL Bochum, 2, 3, Mainz, "Saturday, September 19, 2009", rewirpowerSTADION (16,225)
Schalke 04, 1, 2, VfL Wolfsburg, "Friday, September 18, 2009", Veltins-Arena (60,150)
Werder Bremen, 0, 0, Hannover 96, "Sunday, September 13, 2009", Weserstadion (34,000)
FC Cologne, 1, 2, Schalke 04, "Sunday, September 13, 2009", RheinEnergieStadion (50,000)
Borussia Dortmund, 1, 5, Bayern Munich, "Saturday, September 12, 2009", Signal Iduna Park (80,552)
